recno,HII,Vmag,B-V,xpos,ypos,Dist,Mult,Rem,Mass,MassA
1,25,9.47,0.48,-55.52,22.81,60.02,1,,1.2,
2,34,11.99,0.93,-53.62,33.49,63.22,1,,0.81,
6,129,11.47,0.88,-46.91,-21.06,51.42,1,,0.84,
7,152,10.73,0.69,-46.07,-34.67,57.66,1,,0.99,
8,153,7.51,0.15,-44.39,57.94,72.99,1,,1.74,
10,158,8.23,0.25,-44.41,15.63,47.08,1,,1.54,
15,193,11.29,0.81,-43.08,8.02,43.82,1,,0.89,
16,232,8.05,0.2,-40.71,26.51,48.58,1,,1.63,
18,248,11.02,0.78,-40.8,-34.2,53.23,1,,0.91,
19,250,10.7,0.69,-39.66,52.51,65.81,1,,0.99,
20,253,10.66,0.68,-39.81,23.41,46.18,1,,0.99,
22,293,10.79,0.71,-37.46,39.9,54.72,1,,0.97,
23,296,11.46,0.84,-38.56,-44.11,58.58,1,,0.87,
26,314,10.58,0.65,-36.09,40.89,54.54,1,,1.02,
28,338,9.06,0.46,-35.59,1.08,35.61,1,,1.22,
29,344,8.16,0.27,-34.84,16.78,38.67,1,,1.5,
30,345,11.61,0.85,-34.78,28.48,44.95,1,,0.86,
31,405,9.82,0.54,-31.77,43.07,53.52,1,,1.13,
32,430,11.4,0.82,-30.78,6.96,31.55,1,,0.88,
35,470,8.9,0.4,-29.4,-50.75,58.65,1,,1.3,
37,489,10.38,0.63,-27.77,19.05,33.67,1,,1.04,
38,514,10.71,0.7,-26.01,68.66,73.42,1,,0.98,
40,530,8.95,0.39,-26.1,-24.76,35.97,1,,1.31,
41,531,8.57,0.34,-25.53,8.94,27.05,1,,1.39,
42,541,5.65,-0.07,-24.96,43.44,50.1,1,,2.61,
46,627,9.66,0.51,-22.0,45.94,50.93,1,,1.16,
47,652,8.03,0.21,-21.23,-4.87,21.79,1,,1.61,
48,659,12.09,0.94,-21.34,-41.17,46.37,1,,0.8,
49,697,8.59,0.35,-19.12,20.82,28.27,1,,1.37,
52,727,9.7,0.55,-17.95,30.62,35.5,1,,1.12,
56,746,11.28,0.85,-17.53,18.92,25.79,1,,0.86,
61,817,5.76,-0.04,-14.78,26.32,30.18,1,,2.39,
62,859,6.42,-0.02,-12.74,24.71,27.8,1,,2.28,
64,879,12.79,1.07,-11.82,27.11,29.57,1,,0.73,
