Name,ra,dec,GLAT,GLON
RUP 140,275.4476318359375,-33.242225646972656,-8.859999656677246,0.009999999776482582
RUP131,267.2461853027344,-29.21531105041504,-0.7699999809265137,0.14000000059604645
NGC6558,272.51312255859375,-31.773099899291992,-6.03000020980835,0.20000000298023224
RUP134,268.1985168457031,-29.560693740844727,-1.659999966621399,0.27000001072883606
CR351,267.3431396484375,-28.73150062561035,-0.5899999737739563,0.5899999737739563
RUP133,268.11810302734375,-28.711071014404297,-1.1699999570846558,0.9700000286102295
RUP168,268.216552734375,-28.460590362548828,-1.1200000047683716,1.2300000190734863
CZERNIK37,268.3097229003906,-27.36012077331543,-0.6299999952316284,2.2200000286102295
TR31,269.9649353027344,-28.1854248046875,-2.319999933242798,2.25
NGC6520,270.8381652832031,-27.897842407226562,-2.8499999046325684,2.869999885559082
NGC6540,271.5876159667969,-27.810867309570312,-3.359999895095825,3.259999990463257
CR468,271.6604309082031,-27.460506439208984,-3.2699999809265137,3.609999895095825
RUP137,269.9716796875,-25.185346603393555,-0.8299999833106995,4.849999904632568
RUP169,269.86932373046875,-24.785837173461914,-0.4699999988079071,5.150000095367432
RUP136,269.8188171386719,-24.702749252319336,-0.550000011920929,5.190000057220459
RUP138,269.99371337890625,-24.685232162475586,-0.5899999737739563,5.289999961853027
NGC6544,271.8705139160156,-24.992782592773438,-2.2200000286102295,5.860000133514404
NGC6523 Lagoon,270.7919616699219,-24.38134765625,-1.0700000524520874,5.909999847412109
NGC6530,271.191650390625,-24.329404830932617,-1.3600000143051147,6.130000114440918
RUP139,270.287109375,-23.55045509338379,-0.25999999046325684,6.409999847412109
NGC6469,268.2300720214844,-22.343765258789062,1.9800000190734863,6.5
CR367,272.3896179199219,-23.990245819091797,-2.1700000762939453,6.96999979019165
NGC6514 Trifid,270.5841369628906,-23.032339096069336,-0.25,6.989999771118164
NGC6546,271.8106994628906,-23.309715270996094,-1.3700000047683716,7.309999942779541
DOLIDZE27,249.1313934326172,-8.950719833374023,24.65999984741211,7.619999885559082
NGC6531,271.15606689453125,-22.496217727661133,-0.4399999976158142,7.71999979019165
NGC6583,273.9538269042969,-22.132627487182617,-2.5399999618530273,9.279999732971191
NGC6568,273.200927734375,-21.60293960571289,-1.659999966621399,9.430000305175781
NGC6642,277.9606628417969,-23.463268280029297,-6.429999828338623,9.819999694824219
NGC6494,269.2117004394531,-19.02228546142578,2.8499999046325684,9.850000381469727
