#Table1
objid,ra,dec,l,b,u,g,r,i,z,specobjid,class,redshift
1237645879551000764,348.841086940644,1.26880178994817,79.9140657552743,-53.3821107093229,21.92554,20.97726,19.3943,18.64333,18.8426,4825695603672150016,GALAXY,0.3996501
1237645879551066262,348.90253017155,1.27188625068302,79.9990938679465,-53.4169361586016,19.94715,18.1834,17.54539,17.19318,16.97368,430194949951088640,GALAXY,0.03212454
1237645879562928144,16.0049119708858,1.25942250863144,129.523166687519,-61.4511541711767,24.65833,20.03004,18.76361,18.20994,17.84992,754455784200366080,GALAXY,0.3120482
1237645879562928258,16.0202444869369,1.26766725485021,129.553301305812,-61.441382867311,21.25503,20.32081,19.3534,18.85833,18.4295,754453860055017472,GALAXY,0.2004682
1237645879562928805,16.0260287029818,1.26677200936161,129.565526225473,-61.4416792404737,23.14091,22.71233,21.51795,19.83836,19.1445,4853831831466471424,GALAXY,0.7527065
1237645879573873373,41.0196126805986,1.27127865026385,171.145425995413,-50.7445019996617,21.13174,22.25423,20.4583,19.59072,19.01213,4797482960004247552,GALAXY,0.5046716
1237645879577477252,49.2489417995699,1.27243115438756,179.825936602786,-44.921728502415,21.67294,18.98346,17.83372,17.34154,16.98277,465100870804072448,GALAXY,0.1106111
1237645879577739681,49.8737599538969,1.27121021183372,180.410221320282,-44.4551860700386,25.69508,21.34997,19.77666,19.12391,18.60913,910974839957776384,GALAXY,0.2937785
1237645879577936138,50.2348350060606,1.27194527632097,180.742035470862,-44.1832413137819,19.48892,18.34128,17.67687,17.2732,17.10569,465154746873833472,GALAXY,0.07429758
1237645879578460255,51.4436950025924,1.27007271931227,181.835127432072,-43.2685267991295,19.53032,18.12044,17.3317,16.89978,16.62392,466235292731336704,GALAXY,0.1213151
1237645879578460271,51.4835835170095,1.27201267477703,181.868526811618,-43.2368673454788,18.9535,17.44148,16.81384,16.46317,16.27714,466232818830174208,GALAXY,0.04876465
1237645879578460507,51.475667135681,1.27040583168707,181.863180050107,-43.243941879334,20.82359,20.11232,19.52482,19.30379,20.0884,906466566382577664,GALAXY,0.0488077
1237645879579967591,54.9285003138335,1.27188765144643,184.799071039285,-40.5708214028562,20.29202,18.67307,17.52713,17.0242,16.63172,468489015717292032,GALAXY,0.1317873
1237645879580098737,55.2961970043899,1.27169205908418,185.097741019812,-40.2819569107722,20.09988,20.20811,20.07021,19.55203,19.47213,468495887664965632,QSO,1.837838
1237645941824356668,40.2778355788166,-0.777074112287466,172.475061608304,-52.7616381343043,21.22551,21.00432,19.8385,19.29067,18.86287,4773908605265702912,GALAXY,0.3667026
1237645941824357025,40.2847510933903,-0.767710939271369,172.472990647148,-52.7500660077737,22.23182,23.09176,21.38967,20.07901,19.62641,4110775821756198912,GALAXY,0.6265356
1237645942898229350,40.5820323404506,0.134770088388014,171.837238816312,-51.8829858805315,18.69667,16.509,15.56999,15.22799,15.04037,8253120482569285632,STAR,0.0001422299
1237645942898229471,40.5866484643118,0.087817325093242,171.893843926488,-51.9147016854099,21.31582,18.94914,17.90349,17.51363,17.29044,8253121032325099520,STAR,7.350018E-05
1237645942898230097,40.5793475273039,0.182010168525844,171.7827224513,-51.8497354215897,24.46261,22.42632,22.34369,21.73485,22.34725,7636038271298629632,QSO,1.570234
1237645942898230100,40.5799717732173,0.119814630357221,171.851017115008,-51.8954597990899,21.9723,21.82331,20.37388,19.55784,19.35631,4109768669054824448,GALAXY,0.5112057
1237645942898230126,40.5849309701719,0.131274697004883,171.84451997491,-51.8836340733718,22.33596,22.95935,22.05809,21.87068,21.02875,7636031949173878784,QSO,2.273578
1237645942904389827,54.5507319567056,0.22021365634999,185.589096559415,-41.5161774771062,20.51527,19.9619,20.12525,19.95666,20.31626,907631224174962688,GALAXY,0.04265009
1237645942904455388,54.7723123436322,0.216697910177359,185.773534208267,-41.343010639152,23.28603,21.0891,19.74719,18.95036,18.51413,1709223585123428352,STAR,0.0003130087
1237645942904520927,54.9367873181058,0.216797605798777,185.906947525444,-41.2126300073826,20.60849,19.01502,17.67091,17.08658,16.69509,468504134002173952,GALAXY,0.201277
1237645942904586466,55.1063806064033,0.219220509998925,186.041511474483,-41.0766192037042,20.6113,19.12336,18.5521,18.34793,18.24512,1195813772023851008,STAR,0.0001493801
1237645942904717681,55.27612956602,0.217558487435183,186.17994008876,-40.9428071477761,24.81568,22.29028,21.023,20.08624,19.55735,2971379390706903040,GALAXY,0.5083391
1237645942904783006,55.4641388645108,0.222407529697138,186.325572180765,-40.7903554639193,20.3917,19.27279,18.53615,18.08229,18.0073,1195821743483152384,GALAXY,0.19464
1237645942904914122,55.7170652517925,0.217693150406139,186.532229025368,-40.5917602475102,21.1152,20.06616,18.58476,17.98745,17.81193,804041554237876224,GALAXY,0.2994811
1237645942905045292,56.1074243090754,0.219118985050005,186.839651436288,-40.2793032352634,22.91993,20.86095,19.86549,19.42549,19.62188,1837632250586359808,GALAXY,0.3065799
1237645942905110768,56.2438035349126,0.216316753160326,186.949838029836,-40.1719283702871,22.84736,20.71834,19.29166,18.68282,18.30869,1837631151074732032,GALAXY,0.3097279
1237645942905110842,56.234236723015,0.222159910613353,186.936207932872,-40.1760758205583,21.8463,20.85297,19.97649,19.39512,19.25967,1709266191199004672,QSO,0.4469347
1237645942905241816,56.5276884975787,0.218000691307199,187.170222886892,-39.9435883721865,18.50784,19.77591,18.53264,19.20903,25.08997,2970286750674479104,GALAXY,0.3311663
1237645942905242169,56.5572482452993,0.223548092898868,187.187470436089,-39.9165769510686,26.19618,20.64542,19.54585,19.72313,18.43818,1838704549334902784,GALAXY,0.2950576
