ra,dec,longitud,latitud,u,g,r,i
151.61831949,-2.52546925,243.03095663,40.42689179,26.133486,22.424099,21.651247,20.942726
151.61564824,-2.64874101,243.15338635,40.34622627,23.131346,23.88792,22.252377,21.555195
151.61949493,-2.62816067,243.13581162,40.36231857,24.93124,23.586615,22.454304,21.06953
151.62364969,-2.55149417,243.06175812,40.41440937,22.898718,22.713753,22.143511,22.844065
151.62429819,-2.67301661,243.1851391,40.33738093,26.35211,23.204351,23.008493,22.019424
151.6302307,-2.6460239,243.16284222,40.35917418,22.333097,23.65955,22.609806,22.92325
151.63062138,-2.65670158,243.17395459,40.35265828,24.162474,23.747137,22.058792,21.000572
151.63263451,-2.61203165,243.13050318,40.38271645,24.435499,22.651327,22.409428,21.103775
151.63467964,-2.60794565,243.12808382,40.38689662,22.15205,23.569433,22.275316,22.897972
145.45683475,0.65745008,234.99887981,37.41432579,22.552179,21.08744,20.280415,20.042509
145.45699076,0.7262979,234.92745492,37.45335638,22.678816,24.144915,21.371531,20.886826
145.45984766,0.73067629,234.92493531,37.4581865,21.539076,22.090948,20.814634,19.832872
145.45976231,0.8242945,234.82747323,37.51094377,22.579268,22.409492,21.692621,20.859905
145.46026308,0.71590493,234.94058638,37.45018651,22.343264,22.475491,21.701868,21.275637
145.46527729,0.78731295,234.8698872,37.49463792,24.129646,23.066216,21.276201,20.616652
145.4668167,0.71322133,234.9480388,37.4540787,24.787327,21.636673,20.602995,20.559021
145.46674311,0.63192285,235.03243968,37.40806131,24.59753,22.203669,22.493519,21.974459
145.46778034,0.69660687,234.96599239,37.4454864,24.479681,22.362019,21.663055,21.685719
145.47114681,0.66932087,234.99673782,37.43284147,22.879883,22.330976,21.364946,20.70298
145.47396353,0.81066028,234.85176322,37.51498018,22.754511,22.364103,21.309246,21.412554
145.47540241,0.69888989,234.9690442,37.4530648,25.325146,22.656794,21.254969,20.733847
145.47892409,0.6351535,235.03776023,37.41993294,21.08596,20.424356,20.081726,19.923595
145.48122408,0.766678,234.90269953,37.49615553,21.704367,22.749926,22.143328,22.17584
145.48614768,0.8130483,234.85794211,37.52638667,22.816395,21.721231,21.200075,20.693792
145.48629064,0.72176867,234.95301212,37.4749746,22.597523,22.825071,24.286655,22.256355
145.48732793,0.83874022,234.83202696,37.54185207,24.627838,22.332565,22.082874,22.008207
145.48931456,0.73545074,234.94093833,37.48519851,24.309032,24.677069,20.852636,20.919029
145.48727069,0.73440921,234.94056637,37.48292385,22.772776,23.57671,22.232759,22.44693
145.48974158,0.78981365,234.88468498,37.5162439,23.536247,22.408102,20.757122,20.227333
145.48987886,0.81906526,234.85433069,37.5328615,26.880621,22.442175,20.502052,19.68696
145.49063814,0.83448114,234.83881706,37.54218339,27.635078,22.668905,20.46176,19.858307
145.4909632,0.83783288,234.83555751,37.54434188,22.018366,24.488245,21.123861,22.076283
145.49148089,0.81142239,234.863428,37.52987299,25.849373,22.524782,22.33843,22.464672
145.49635491,0.67621502,235.00752616,37.45753012,22.644604,22.221519,21.203718,20.656067
145.49702472,0.79009854,234.88957054,37.52241661,24.669815,22.082951,23.252071,21.454153
145.49745098,0.66236707,235.02269353,37.45060313,22.016279,22.153099,21.577978,21.170258
145.4999451,0.82948516,234.85064011,37.54705021,24.020704,21.459179,20.379288,19.700697
145.50048657,0.67256151,235.01426482,37.45887153,23.421877,21.384609,19.727798,19.110252
145.50227442,0.66003411,235.0285537,37.45326127,23.046366,22.595795,21.084536,21.23744
145.50273895,0.67556376,235.01274981,37.46242727,21.410517,21.209417,20.488579,20.146042
145.50248673,0.6850397,235.00272341,37.46757708,22.460976,22.035246,21.734074,21.980217
145.50301513,0.63852169,235.051425,37.44170258,22.089355,23.214088,21.808474,21.028372
145.50483128,0.744911,234.94214471,37.50334517,25.065498,22.226915,20.57229,20.278749
145.50802916,0.70369599,234.98728003,37.48269489,22.309095,21.998016,21.581953,21.215614
145.50906084,0.75468322,234.93498973,37.51235485,22.694466,22.236118,21.67552,21.245127
145.51237728,0.75650715,234.9354534,37.51612169,22.109245,21.937313,21.129181,20.880316
145.5143508,0.68687631,235.00926572,37.47840036,22.866499,23.123594,22.504269,21.425692
