ra,dec,m_r,z,distancia,velocidad
146.92403,-0.10514302,19.767586,0.327329,1131.142187,98198.7
147.08969,-0.26650926,19.893192,0.383197,1198.500998,114959.1
146.27472,-0.77914713,21.352499,2.29666,2346.928182,688998
146.438,-0.65600998,19.357918,1.47685,936.6635066,443055
146.27838,-0.6115498,20.139404,0.371228,1342.396466,111368.4
146.36894,-0.66824731,18.957106,0.271285,778.7914949,81385.5
146.84292,-0.39093546,20.51609,0.384754,1596.680421,115426.2
146.89733,-0.18636779,20.011734,0.370915,1265.746689,111274.5
146.76383,0.04142141,19.271053,1.77149,899.9338756,531447
146.22601,-0.72509875,19.017052,2.28985,800.5904404,686955
146.24259,-0.76261796,19.848057,0.300242,1173.846745,90072.6
146.26033,-0.94079185,19.975239,0.384821,1244.651595,115446.3
146.69355,-0.38654005,20.525051,0.45944,1603.283046,137832
145.89838,-0.72280608,18.89406,0.271496,756.5053436,81448.8
145.92005,-0.78353938,18.775932,0.517187,716.4508463,155156.1
145.93986,-0.79011435,19.744881,0.368365,1119.376538,110509.5
145.91067,-0.66994126,20.144678,0.369263,1345.660796,110778.9
145.80638,-0.54706451,19.970531,0.368171,1241.955972,110451.3
145.98911,-0.61503643,19.859474,0.335051,1180.034759,100515.3
146.47181,-0.32044988,20.187712,0.366271,1372.59496,109881.3
146.477,0.07743098,19.999685,0.440819,1258.742802,132245.7
146.39881,-0.009911287,22.202499,0.389264,3471.36116,116779.2
146.2918,-0.25947359,19.251162,0.325544,891.7279927,97663.2
146.23462,-0.40626115,19.258194,0.271808,894.6204059,81542.4
146.19248,-0.50827897,20.213526,0.369308,1389.009449,110792.4
145.93037,-0.06030272,20.596466,0.517352,1656.888181,155205.6
145.94591,-0.11261678,19.120731,2.18982,839.7426282,656946
145.81742,-0.09430964,19.512911,0.345902,1005.963446,103770.6
145.9253,0.04879248,19.000355,0.2886,794.4581049,86580
145.74093,-0.78478748,18.609018,1.36,663.4429753,408000
145.61421,-0.86576193,19.380272,0.345755,946.3556951,103726.5
145.70728,-0.67774657,20.161957,0.401977,1356.411303,120593.1
145.74414,-0.04356676,19.277103,1.61642,902.4447027,484926
145.71827,0.069323,20.684868,0.51557,1725.732985,154671
145.63696,-0.45449248,19.651545,0.358139,1072.281961,107441.7
145.76225,-0.21964896,18.950962,1.58644,776.5910838,475932
145.55032,0.0094954,19.659126,0.336428,1076.032032,100928.4
145.36789,-0.46545391,19.50132,0.342291,1000.608067,102687.3
145.49979,-0.430594,19.307827,0.366273,915.3040837,109881.9
145.53049,-0.29051266,19.51182,0.345138,1005.458153,103541.4
145.49612,-0.2645744,18.742228,2.56657,705.4164776,769971
145.29601,-0.94320703,20.414593,0.460216,1523.767127,138064.8
145.29141,-0.86035856,19.940725,0.369418,1225.025136,110825.4
145.24564,-0.64077363,18.645456,1.16692,674.6696906,350076
145.2669,-0.95732134,20.200104,0.405959,1380.450378,121787.7
145.17299,-0.005653981,20.470026,0.437593,1563.166359,131277.9
145.25355,-0.10723425,20.616547,0.484481,1672.281557,145344.3
145.19933,-0.28622504,19.155874,0.651967,853.443549,195590.1
145.31208,-0.40076564,19.664303,0.336875,1078.600457,101062.5
145.33158,-0.35072129,20.347471,0.483203,1477.386751,144960.9
145.50528,0.94505288,20.344067,0.465278,1475.072614,139583.4
145.3386,0.140315,19.261463,1.47813,895.9682086,443439
145.29315,0.30617839,19.221846,0.322636,879.7701043,96790.8
145.38704,0.12528484,19.558474,0.488871,1027.294115,146661.3
145.33843,0.27131682,19.696564,0.336406,1094.744571,100921.8
145.56952,0.75237106,20.314053,0.374466,1454.824479,112339.8
145.67367,0.94780421,20.421711,0.694866,1528.77017,208459.8
145.49682,0.7331675,20.296825,0.4103,1443.327878,123090
145.53343,0.72985508,19.924665,0.358471,1215.99839,107541.3
145.46536,0.33402647,19.529629,1.6055,1013.738172,481650
145.59384,0.27826036,18.745028,1.40566,706.3266619,421698
145.6607,0.6338449,20.122393,0.466909,1331.92141,140072.7
146.18715,0.96667596,20.288258,0.40669,1437.644807,122007
146.10837,0.79938927,20.511137,0.43738,1593.042638,131214
146.13006,0.9500401,19.456009,2.53527,979.9452226,760581
146.01594,0.3131747,20.481773,0.440525,1571.645524,132157.5
146.07338,0.1562641,19.983166,0.442345,1249.203522,132703.5
146.42536,0.56713104,19.564009,0.263064,1029.915988,78919.2
146.39794,0.14516539,19.505024,1.90373,1002.316316,571119
146.41406,0.18838338,20.622597,0.362729,1676.947244,108818.7
146.50879,0.58851764,18.193462,0.649429,547.8887714,194828.7
146.34873,0.90581202,20.586548,0.418012,1649.337753,125403.6
146.41413,0.76855419,23.1287,0.393526,5317.897962,118057.8
146.64377,0.46720989,20.623503,0.450544,1677.64706,135163.2
146.72474,0.65004519,19.341255,0.312316,929.503437,93694.8
146.81401,0.11892939,20.016315,0.36694,1268.419763,110082
146.74791,0.73472126,19.056221,0.262268,815.162514,78680.4
146.64496,0.93743071,19.334824,1.9974,926.7547059,599220
146.7815,0.73798191,18.99102,0.261903,791.0501186,78570.9
146.6873,0.86093703,19.973745,0.335498,1243.795554,100649.4
147.02282,0.66094747,19.459442,0.312999,981.4956971,93899.7
146.86054,0.52471508,20.189829,0.338382,1373.933776,101514.6
147.09159,0.20767254,19.434681,0.370194,970.367405,111058.2
147.06404,0.93964634,20.37174,0.444292,1493.991065,133287.6
147.09569,0.93178014,20.479904,3.87734,1570.293381,1163202
147.23886,0.37375648,18.376474,0.584575,596.0666175,175372.5
147.3296,0.32443263,19.679323,0.366142,1086.086961,109842.6
147.31755,0.34925028,19.922119,0.369801,1214.573496,110940.3
148.57064,-0.71583138,20.094193,0.419662,1314.736136,125898.6
148.82978,-0.74093264,19.170994,0.292166,859.4068283,87649.8
148.60658,-0.92868782,18.892914,0.358335,756.1062013,107500.5
149.12558,-0.30699451,20.595531,0.470174,1656.174906,141052.2
148.42886,-0.86325794,18.906,1.30088,760.6765008,390264
148.41438,-0.72075858,19.310156,1.38558,916.2863144,415674
149.04851,-0.07764741,19.687626,0.378388,1090.247752,113516.4
149.10806,-0.06475232,18.773113,0.512548,715.5213551,153764.4
148.35425,-0.74138513,19.844179,0.420108,1171.75226,126032.4
148.75351,-0.59619364,20.327366,0.469004,1463.771206,140701.2
148.88621,-0.03731969,19.959352,0.413965,1235.578663,124189.5
148.87511,-0.06406012,19.814762,0.421732,1155.985536,126519.6
148.15747,-0.82559275,19.885927,0.37428,1194.497926,112284
148.65027,-0.0595394,19.501457,0.390203,1000.671198,117060.9
148.56975,0.13592029,18.800877,0.885195,724.7285996,265558.5
148.28484,-0.61908774,19.900614,0.421108,1202.604432,126332.4
148.18988,0.004309333,18.871237,1.0625,748.5958238,318750
148.34861,-0.63410067,18.431011,1.38346,611.2265352,415038
148.35715,-0.01900191,19.705364,0.402019,1099.190079,120605.7
148.05021,-0.08627381,19.517395,0.327191,1008.042865,98157.3
147.8615,-0.26639602,19.794836,0.371583,1145.42643,111474.9
147.93709,-0.27135387,20.141029,0.421539,1343.401411,126461.7
147.77177,0.0136876,18.582462,0.875713,655.3788168,262713.9
147.70857,-0.88775026,18.630856,0.271486,670.1487317,81445.8
147.72786,-0.83489403,18.907557,0.268546,761.2221204,80563.8
147.85477,-0.85874409,24.644516,2.20783,10688.16624,662349
147.70202,-0.004921123,20.447233,1.88018,1546.844295,564054
147.68812,-0.06174011,19.254055,0.326897,892.916812,98069.1
147.88098,-0.37988926,19.352467,0.371222,934.3151693,111366.6
147.86304,-0.40424782,19.235664,0.322549,885.3863048,96764.7
147.65468,-0.88138554,18.783937,0.269597,719.0968726,80879.1
147.45883,-0.32263375,19.766203,0.370142,1130.421997,111042.6
147.55427,-0.47753803,19.454952,1.89174,979.4683342,567522
147.51706,0.04412864,19.198225,0.317378,870.2519398,95213.4
147.46847,-0.45818737,19.337463,0.328687,927.8816797,98606.1
147.5069,-0.40262357,21.986618,1.05897,3142.849611,317691
147.59691,-0.32988611,19.683989,0.359396,1088.423224,107818.8
147.52062,-0.33674168,18.028141,1.77556,507.7245928,532668
147.57061,-0.43424172,19.561535,0.359785,1028.743253,107935.5
147.7083,0.19797583,19.74999,0.346681,1122.013287,104004.3
147.13939,-0.85096747,18.393393,1.60589,600.7290029,481767
147.43057,0.09338956,18.492123,0.422013,628.6726977,126603.9
147.09307,0.91700535,20.268391,0.366132,1424.55165,109839.6
147.27313,0.83022894,19.96398,0.406564,1238.214827,121969.2
147.32443,0.66098239,20.064018,0.365565,1296.592783,109669.5
146.79762,0.26047216,21.274624,0.520844,2264.252208,156253.2
147.1701,0.53908692,19.388336,2.24614,949.8766239,673842
147.14063,0.41625138,18.594568,1.48828,659.04277,446484
147.02367,0.31036651,20.023533,0.413423,1272.64302,124026.9
147.23177,0.37757814,20.876507,1.56893,1884.956794,470679
147.34962,0.39104812,19.889366,0.373857,1196.391173,112157.1
147.50311,0.84813827,19.147778,0.266423,850.2675406,79926.9
147.57777,0.84719788,20.352245,0.639779,1480.638371,191933.7
147.33859,0.79272399,19.938477,0.362107,1223.757594,108632.1
147.51757,0.45016298,19.269958,0.315592,899.4801839,94677.6
147.50014,0.3590334,19.489012,0.315242,994.95262,94572.6
147.58299,0.30968378,20.459784,0.460077,1555.810865,138023.1
147.44348,0.29721651,20.9704,0.499894,1968.248821,149968.2
147.72016,0.95889121,20.475098,0.862858,1566.82178,258857.4
147.88701,0.78927231,19.435747,0.362878,970.8438861,108863.4
147.70565,0.92256808,19.528475,0.317207,1013.199577,95162.1
147.68664,0.88235642,19.61293,0.407826,1053.38226,122347.8
147.79689,0.77265689,19.774168,0.326569,1134.576019,97970.7
147.81092,0.68123605,18.730936,0.501838,701.7577216,150551.4
