ra,dec,u,g,r,i,z
14.5594861411,15.2002534257,19.02797,17.08535,16.0903,15.5504,15.12846
239.705422372,14.9691928719,18.37152,17.46466,17.31059,17.49466,17.23945
148.919479925,4.49394206039,20.81122,18.80297,17.57092,17.07555,16.7278
168.413512166,59.2934575574,19.239,17.28332,16.19314,15.72651,15.35783
250.55603666,21.9847392036,20.13382,18.01895,16.80676,16.32159,15.92186
122.157712873,19.3043296171,18.78819,16.79565,15.8699,15.4324,15.10621
183.193739264,34.2694989491,18.8939,16.90068,15.90126,15.47297,15.1138
160.539544123,65.1015342906,19.07532,17.75013,16.9009,16.48999,16.16319
185.754353227,61.7071577277,18.70965,16.63571,15.61255,15.16839,14.79017
176.343263557,25.6470877074,18.7148,17.46571,16.77394,16.43784,16.16055
167.414887447,19.2946767637,19.30394,18.09272,17.70576,17.4516,17.36353
180.871531754,33.6760150713,19.57773,17.54818,16.22724,15.72687,15.42532
175.690673252,10.2883940103,17.75298,16.77014,16.13074,15.73672,15.51232
217.002389618,37.400913452,17.58736,15.60366,14.69556,14.289,13.96379
135.478406068,55.0651192829,18.74596,16.75307,15.86211,15.41807,15.0823
148.92022355,30.7616645239,20.48265,18.37696,17.03156,16.53907,16.18664
143.376447911,47.9612096144,19.24883,17.2574,15.9512,15.50748,15.08461
236.81967465,20.4413238449,17.75722,16.36159,15.66167,15.24168,14.95334
181.481788013,49.0445616606,18.36776,16.95193,16.30774,15.90707,15.66432
119.480724404,28.0460447683,19.35499,17.70389,17.13966,16.85838,16.71841
126.571865466,47.076242609,19.88142,17.80997,16.72737,16.24957,15.88377
208.944951212,25.8403633856,17.41662,15.28958,14.32949,13.86652,13.58836
255.074418299,38.3927341391,17.40394,16.02719,15.5281,15.22465,15.02496
235.647922425,23.6700536614,15.98356,14.07919,13.22432,12.81408,12.48401
233.191302463,29.5266205707,18.69291,17.05149,16.34424,16.0372,15.84347
166.247425371,30.1072155866,17.82685,16.16346,15.37921,15.00173,14.74016
230.41312279,31.6774445484,18.71027,16.65968,15.63141,15.18913,14.8132
170.491140205,8.57315630176,18.46061,16.84169,15.94783,15.50005,15.16213
168.204905024,1.87419891548,20.25491,18.56362,17.60125,17.0838,16.71185
219.929026308,23.6562533352,19.02137,17.85595,17.41455,17.10028,16.89018
