ra,dec,u,g,r,i,z
239.495541301,22.3251406507,18.48617,17.00311,16.26324,15.88828,15.56575
206.784941859,17.0599158574,18.68597,17.34896,16.78204,16.44462,16.24426
129.116325227,10.6450353461,16.48803,14.9749,14.30069,13.93282,13.678
14.0709188816,-0.953292558779,19.53343,17.36526,16.25612,15.81089,15.449
206.697198184,28.67048485,19.5645,17.6106,17.0563,16.75068,16.55159
169.475747468,12.0541969364,18.07752,16.80321,16.17377,15.81534,15.62578
129.132480917,61.7119135971,24.24023,21.37953,20.70407,20.32306,19.88219
135.105724369,39.0649238556,18.71307,17.34581,16.84846,16.49212,16.23943
113.514381691,43.5447904791,18.93977,17.16514,16.279,15.81387,15.44887
128.043643023,45.4240692628,18.74235,17.43609,16.85991,16.49769,16.17703
253.873126117,18.0492918464,19.97841,17.8823,16.85085,16.26999,15.76471
254.083250849,38.4532238725,18.85232,17.80244,17.50578,17.31838,17.16658
205.271673644,5.10579902092,16.41207,14.8844,14.29286,13.98832,13.76246
216.846347101,20.0966342377,19.03483,17.12699,16.21485,15.72508,15.41013
192.392158098,3.92309072603,19.23528,17.79279,17.10489,16.6523,16.35681
120.553392078,28.873272911,18.80657,16.8124,15.79818,15.3319,14.94717
253.901607181,39.3569305402,18.27208,17.19281,16.75547,16.49374,16.30873
340.507241475,-8.77432845535,20.61075,18.81551,17.9111,17.42342,17.11345
138.806220143,5.04772835457,18.79715,16.69322,15.53337,15.04926,14.66694
223.806326101,10.907129703,19.28682,17.17159,16.07723,15.642,15.27517
192.481420223,15.2776295989,19.22709,17.61836,16.95065,16.52717,16.27446
181.423120995,27.2191869176,19.24873,18.1201,17.43886,17.06375,16.77132
181.41225511,23.8103650279,19.52467,17.92687,17.19855,16.73728,16.473
207.996551275,48.1247291187,17.96049,16.57199,15.98346,15.59467,15.36169
138.357871656,52.9813126189,15.75001,13.81723,12.9799,12.62163,12.32539
147.396157811,10.7395405544,18.92173,17.26895,16.35091,15.82721,15.39612
129.119374441,24.505913427,19.26199,17.65802,16.99121,16.63702,16.47721
120.846227859,45.5310825107,18.11195,16.11806,15.151,14.69634,14.3422
232.031097386,15.3024204165,20.60656,19.8295,19.7077,19.63553,19.31925
212.261032986,3.19155359468,18.84701,17.26328,16.54629,16.15879,15.8353
129.117914964,22.8474512285,16.98726,16.05581,15.71278,15.50432,15.38656
240.162177817,54.9833429084,17.91389,16.39088,15.72768,15.36164,15.12499
252.280494488,39.1589858265,19.9302,18.01861,16.99985,16.56365,16.23351
190.897897407,27.8889728113,20.0477,18.27267,17.47574,17.03522,16.76416
240.182097968,24.0544593579,18.5136,17.33195,16.7451,16.39634,16.16888
169.454614788,16.1299552947,17.98539,16.65954,15.98179,15.59555,15.30979
162.343668918,15.0603939134,19.89191,18.26566,17.10429,16.60344,16.29262
189.083748684,42.591189976,19.23834,17.35057,16.65484,16.21512,15.88181
150.171986912,45.4275327141,19.88002,18.12768,17.20991,16.82249,16.46602
188.399264136,22.8011432715,17.38541,15.49598,14.65045,14.25571,13.94292
