sdss_name,ra,dec,l,b,M_i,z,fwhm_CIV,fwhm_CIII,fwhm_MGII
113845.19+423042.0,174.6882917,42.51167299,162.1143651,68.66270188,-25.59295576,2.485652924,3969.051744,22489.0942,-1
114731.72-010230.3,176.8822079,-1.041760999,271.734809,57.90593414,-21.36721729,0.563683927,-1,-1,-1
153040.60+153944.4,232.669189,15.66235224,23.98974081,51.38733717,-26.03040031,2.780185223,3830.811434,4700.819258,-1
221350.11+132943.5,333.4588016,13.49542938,74.65256746,-34.21612918,-25.99929099,2.59136796,2510.511683,2237.644373,-1
075149.76+332301.2,117.9573468,33.38369181,187.085103,26.38928322,-25.64838044,2.532235146,6204.345819,7254.674581,-1
121121.73+021907.2,182.8405739,2.31867081,280.0887476,63.39900696,-26.54819269,3.722266436,4569.276699,9585.658203,-1
165952.20+253635.1,254.9675123,25.60975675,46.49909517,34.9271145,-24.18426224,2.085901976,2378.163191,2686.057493,9032.28062
080446.65+390343.1,121.1944,39.0619727,181.5565917,30.31314042,-22.88605483,0.828976333,-1,-1,-1
210917.27-005050.9,317.3219741,-0.847495969,49.47239972,-30.6840795,-24.83308152,2.330864906,2559.527492,2700.863826,5382.71547
081412.25+141326.0,123.551049,14.22389514,208.9889606,24.636874,-26.86565559,2.433446884,6336.38211,8371.831541,-1
154945.43+323403.3,237.4393194,32.56761037,52.07724802,51.23214064,-25.01662993,2.712957859,3428.254912,5568.835611,-1
213501.15+043150.7,323.7548115,4.530774455,58.95441456,-33.01207115,-25.15495317,2.497754335,5249.43933,-1,-1
115415.87+003239.3,178.5661555,0.544268454,273.2647491,60.08090768,-25.48015012,1.743468642,-1,3761.147995,7807.204372
153157.12+264812.1,232.9880294,26.80337244,41.83704089,54.38911624,-25.47213333,2.607237339,3121.425099,3344.227841,-1
235234.52-004006.1,358.1438602,-0.66837848,92.39710085,-60.00347342,-25.34561129,2.672882795,3144.904614,-1,-1
100846.56+371615.5,152.1940375,37.27098438,185.9756892,54.42482203,-24.5214996,2.500772238,2060.083357,-1,-1
083536.30+263838.1,128.9012808,26.6439234,197.5997295,33.62265255,-24.42528408,2.228637457,2943.204605,4829.404537,-1
124957.76+354030.7,192.4906817,35.67521911,124.9467627,81.44726145,-25.16464049,2.829840183,2283.273153,4584.17691,-1
131716.27+033723.6,199.3178011,3.62322349,318.7607864,65.69793442,-25.43725818,2.30298686,3848.744216,5620.04652,3364.956532
134636.95+354617.2,206.6539749,35.77144963,72.69117889,75.42431741,-25.02924445,2.91255188,4158.573035,8570.494989,-1
142640.81-030822.1,216.6700545,-3.139492538,343.8363234,52.00290228,-22.80380215,0.9169873,-1,-1,-1
085025.39+004515.2,132.6058063,0.754242754,226.8107483,26.58605166,-24.82701058,2.511042118,3965.404154,4428.030507,-1
080417.17+203023.4,121.0715438,20.50651637,201.6001792,24.85125605,-24.65082748,2.318950176,7174.934903,-1,-1
151951.41+303011.5,229.9642423,30.50320561,47.84334313,57.45952073,-28.06872287,3.161782742,4902.174023,5809.075023,-1
023832.15-080644.3,39.63396192,-8.112333231,181.0468167,-58.31669569,-26.16199159,2.80687499,5715.869137,3717.541695,-1
141257.51+313051.2,213.2396514,31.51422693,51.68706791,71.72772614,-25.84176664,2.528461695,4820.147978,4849.875063,-1
081448.80+354309.8,123.7033731,35.71941485,185.8565125,31.55503872,-24.52523125,0.89440006,-1,-1,-1
082420.37+284421.2,126.084915,28.73924089,194.3898961,31.80174229,-24.09500564,2.30598712,1874.145812,-1,4896.213335
224521.65+000833.3,341.3402168,0.142584062,69.72008438,-49.24834365,-23.83015541,0.913798928,-1,-1,-1
014843.64+111134.5,27.18187426,11.19294422,144.7501034,-49.23653467,-27.39504287,2.931644201,9178.50766,8414.793662,-1
152657.03+162700.1,231.7376422,16.45004026,24.57596391,52.52370864,-24.61333082,2.169976473,5288.949239,10079.98954,5125.859511
083659.86+151155.7,129.2494399,15.19881441,210.4320067,30.0852906,-27.39124813,2.611364126,5006.913502,5066.776803,-1
082920.43+115616.8,127.3351315,11.93800316,212.9791752,27.0697423,-24.40292626,2.571243286,-1,2188.520824,-1
163443.48+262329.8,248.6812004,26.39161466,45.56830592,40.58283826,-24.03786804,0.731484294,-1,-1,-1
142126.96+325318.7,215.3623579,32.88855488,54.88154967,69.72622203,-24.94475572,2.532227993,3593.284442,9840.993451,-1
232521.09+010954.9,351.3379127,1.165265909,83.2587141,-54.93426544,-25.96143035,3.316968203,2813.599376,4921.328838,-1
145950.77-005235.1,224.9615499,-0.876438703,355.9718674,48.31810068,-24.54181482,2.500926971,3536.757423,7094.384217,-1
10291.383+035911.0,157.2557625,3.986400721,240.868475,48.90018395,-25.10416312,2.992735147,6299.777321,6698.100851,-1
162441.99+305221.7,246.1749821,30.87270515,50.87358312,43.65634131,-25.68920693,2.936506987,4292.640257,6156.311459,-1
101953.14-014729.7,154.9714341,-1.791592,245.1969433,43.4554389,-25.28727563,2.210400343,3943.247705,4915.100868,-1
111445.61+375652.0,168.6900493,37.94779054,178.7543789,67.02876797,-24.94406854,2.859977484,2723.129611,7676.691536,-1
081343.14+481805.1,123.4297661,48.30144219,171.0761382,33.26252908,-26.58474076,3.552856207,3309.464026,2826.781867,-1
172624.31+322205.2,261.6013079,32.36813462,56.09795559,31.10856026,-27.12168408,2.25297904,7086.506715,7106.516725,4639.165085
161432.28+230159.4,243.6345211,23.03317232,39.56144497,44.13423541,-23.41593051,0.681371272,-1,-1,-1
080111.95+294924.3,120.2998075,29.82343446,191.5506499,27.27023216,-25.62081957,2.32364583,5096.251637,5709.994976,3189.567496
094052.47-002246.3,145.2186605,-0.379554622,235.8969167,36.62812874,-24.96809375,1.628011703,5925.897067,6318.970428,6981.294465
080906.22+291235.4,122.2759411,29.20985529,192.7848339,28.73524806,-27.92939932,1.476588011,5253.521608,8754.916561,6044.825408
085001.54+383532.5,132.5064363,38.5923793,183.7820791,38.94115626,-26.04367602,2.311981678,3068.404549,9508.667964,2450.076846
123046.10+052825.4,187.6920836,5.473736888,289.2098144,67.79312198,-25.06120148,2.375738621,6624.299244,10770.02085,-1
170838.13+300308.8,257.1588777,30.05246777,52.32392273,34.22384732,-26.8346672,2.234152079,4213.002308,5562.739281,3018.766353
152018.95+295142.1,230.0789812,29.86170699,46.6687835,57.31585086,-24.40872978,2.303290606,2816.095008,8308.5481,-1
234733.73-010641.3,356.8905827,-1.111489548,89.77560025,-59.80613278,-24.89898478,1.811861634,3441.746536,2538.511399,4032.090765
022419.86-033255.0,36.08276843,-3.548633282,170.2333684,-57.62184696,-27.06130691,3.149433136,-1,6057.150686,-1
235301.34+003415.5,358.2556096,0.570991032,93.67664505,-58.94223291,-24.97138642,1.435702562,-1,6811.477356,4040.258005
111817.87+020635.0,169.5744702,2.109725006,257.2538973,56.48388539,-25.18722989,2.612914324,3184.225174,5791.143933,-1
022648.11+000724.5,36.70047765,0.123498484,166.9023859,-54.39610979,-24.84051647,2.657328129,-1,2195.490395,-1
083841.55+390217.1,129.6731622,39.03810828,182.8974515,36.80007215,-27.59585879,4.339621067,4044.303589,-1,-1
114229.85-002740.3,175.6244155,-0.461202304,269.1364975,57.8144137,-23.92832495,0.901994586,-1,-1,-1
013136.44+130331.0,22.90185382,13.05863361,137.8303581,-48.64765996,-27.94536629,1.594116092,4632.07109,-1,3803.286825
012510.46+001425.6,21.29358492,0.240455634,140.8067703,-61.4549457,-24.41945266,2.430614233,2339.728621,6005.885223,-1
125750.68-023122.1,194.4612078,-2.522806996,306.1637702,60.30873035,-23.44983586,0.665176451,-1,-1,-1
154243.79+140856.8,235.6824796,14.14911677,23.73270089,48.11003059,-26.7812465,2.347934961,-1,6304.057568,4982.301962
212442.97-010105.7,321.1790601,-1.018259909,51.72049972,-34.04547941,-23.12322838,0.880846441,-1,-1,-1
074843.61+262901.1,117.1817321,26.48366606,194.0912055,23.60321128,-25.98132167,2.293862581,5678.793571,6871.590912,4885.825963
124309.52+363149.3,190.7896838,36.53036983,132.9910297,80.43562783,-27.71814525,2.490948915,3023.489529,3004.725211,-1
075148.40+195315.3,117.9516867,19.88759265,201.0454042,21.90222865,-22.66907391,0.71442759,-1,-1,-1
130708.84+410930.3,196.7868376,41.15843637,110.9624,75.60264057,-24.43546498,2.070783377,3759.336046,4437.096192,4594.688369
150625.36+282111.8,226.6056824,28.35328048,43.24885967,60.20440018,-22.8337795,0.557451308,-1,-1,-1
023906.81+025213.7,39.77841312,2.870488345,168.0287202,-50.32923318,-24.86830067,1.963597655,4980.435038,13519.49884,8587.901374
003913.19+025040.8,9.80499767,2.844689797,116.843495,-59.8825454,-26.77937058,3.566897869,4175.35801,6184.861063,-1
082151.88+281114.9,125.4661705,28.18747613,194.8353782,31.12650831,-26.93987009,3.369915485,8434.175724,7035.77276,-1
152021.14+171503.7,230.0880968,17.25103633,24.77652618,54.28994769,-26.40400064,3.412097692,5421.375423,6628.685797,-1
082501.40+351539.9,126.255844,35.26110546,186.904573,33.49105347,-25.91068239,2.368280172,5055.501363,5566.73097,-1
