ra,dec,u,g,r,i,z,redshift,velocidad,distancia_arcmin,tipo
194.572522,28.040079,19.563,17.513,16.804,16.45,16.17,0.02065,6195.000000000001,20.4642,galaxia
194.575458,28.070532,21.431,18.459,17.351,16.886,16.544,0.15735,47205.0,20.7079,galaxia
194.582202,28.094842,24.929,17.628,17.224,17.146,17.737,0.02392,7176.0,20.7955,galaxia
194.586585,27.998776,18.394,17.3,16.931,16.819,16.789,,,19.4397,estrella
194.590439,28.148753,17.485,15.466,14.668,14.287,14.065,0.02628,7884.0,21.683,galaxia
194.590959,27.96778,16.756,15.026,14.206,13.793,13.534,0.02005,6014.999999999999,19.1953,galaxia
194.592319,28.152134,18.209,16.221,15.436,15.052,14.845,0.02227,6681.000000000001,21.6903,galaxia
194.606369,28.128924,17.682,16.543,16.071,15.786,15.601,0.02736,8208.0,20.395,galaxia
194.622564,28.187915,19.507,16.878,15.538,14.918,14.585,,,21.4616,estrella
194.624324,28.218935,19.273,17.858,17.388,17.201,17.15,,,22.5175,estrella
194.625853,28.014753,16.333,14.646,13.869,13.469,13.232,0.02384,7152.0,17.4482,galaxia
194.628988,28.233622,18.047,17.056,16.337,15.979,15.877,0.02429,7287.0,22.901,galaxia
194.632953,28.049613,17.977,16.399,15.646,15.275,15.02,0.01903,5708.999999999999,17.4474,galaxia
194.637812,28.095464,17.904,15.74,14.894,14.629,14.51,,,18.0555,estrella
194.650449,28.150323,19.627,17.193,16.182,15.83,15.651,,,18.9791,estrella
194.651453,28.113734,16.938,15.088,14.262,13.86,13.56,0.0227,6810.0,17.8518,galaxia
194.653836,28.135504,18.896,17.392,16.824,16.632,16.658,,,18.3631,estrella
194.662302,28.132999,15.521,14.16,14.566,13.399,13.34,,,17.9009,estrella
194.673441,28.185491,19.426,17.68,17.014,16.626,16.456,0.02683,8049.0,19.2371,galaxia
194.683963,28.048963,20.116,18.182,17.51,17.191,16.98,0.02959,8877.0,14.8258,galaxia
194.692698,28.241782,19.801,17.361,16.156,15.714,15.474,,,20.8641,estrella
194.70035,27.99802,16.28,14.854,14.345,14.17,14.103,,,13.4225,estrella
194.700641,28.018727,20.245,18.025,17.307,17.018,16.867,0.02362,7086.0,13.5596,galaxia
194.708581,28.053988,20.347,18.529,17.473,17.049,16.762,0.15225,45675.0,13.6715,galaxia
194.711294,28.101289,20.684,18.498,17.609,17.298,17.145,,,14.7038,estrella
194.711489,27.995547,19.433,18.167,17.503,17.159,17.125,0.02235,6704.999999999999,12.8231,galaxia
194.711519,28.084012,17.844,16.129,15.358,14.98,14.699,0.02026,6078.0,14.2119,galaxia
194.71175,28.006994,19.96,18.375,17.682,17.332,17.067,0.0249,7470.0,12.8751,galaxia
194.713294,28.248341,19.137,18.111,17.354,16.962,16.638,0.16651,49953.0,20.4685,galaxia
194.717731,28.208525,21.024,18.36,17.099,16.569,16.284,,,18.4947,estrella
194.719595,28.164283,20.393,17.844,16.378,15.038,14.307,,,16.556,estrella
194.719779,28.255837,18.399,16.855,16.251,16.059,15.961,,,20.6159,estrella
194.720641,28.233827,19.526,18.215,17.485,17.125,16.957,0.02024,6072.0,19.5459,galaxia
