id,longitud,distancia
#      deg   kpc
 4,  10.3, 18.7
 5,  12.8, 4.2
 8,  15.1, 2.5
11,  18.6, 2.2
12,  19.1, 13.4
14,  20.7, 14.0
15,  22.8, 12.4
16,  23.4, 12.4
17,  24.6, 9.1
18,  25.4, 13.6
19,  25.8, 9.0
20,  28.0, 6.9
21,  29.9, 7.0
22,  30.8, 6.6
26,  37.6, 12.4
27,  43.2, 14.1
29,  48.6, 11.9
30,  49.2, 5.8
31,  51.3, 4.4
32,  70.3, 8.8
35,  79.3, 7.6
36,  79.9, 5.7
37,  80.0, 1.4
40, 102.8, 3.6
42, 111.5, 5.8
43, 133.7, 2.3
47, 173.5, 3.4
54, 282.0, 7.0
56, 284.3, 5.4
58, 287.6, 2.6
59, 289.1, 9.2
60, 289.9, 7.9
61, 291.2, 2.5
62, 291.9, 7.2
63, 291.9, 9.7
65, 298.6, 11.7
66, 305.3, 2.5
68, 311.5, 8.5
69, 311.9, 10.7
70, 314.2, 10.9
71, 316.8, 12.5
72, 317.1, 11.9
73, 319.2, 13.7
74, 319.4, 14.2
75, 320.3, 14.9
81, 328.0, 2.6
82, 327.6, 11.3
83, 328.3, 8.5
84, 331.2, 12.1
85, 331.7, 7.8
86, 332.0, 4.2
89, 336.9, 6.7
91, 338.0, 14.1
92, 338.4, 18.0
93, 338.9, 14.8
95, 340.3, 14.4
96, 343.5, 15.6
98, 348.8, 3.5
