id,longitud,latitud,radio,distancia
#         deg      deg     kpc   kpc
    1, 000.649, -00.080,  0.7,  7.8
    2, 000.729, -00.103,  0.1,  8.5
    3, 009.599, +00.199,  3.5,  5.2
    4, 009.613, +00.206,  3.5,  5.2
    5, 009.614, +00.200,  3.5,  5.2
    6, 010.160, -00.350,  6.5, 14.6
    7, 010.309, -00.149,  6.9, 15.1
    8, 010.453, +00.030,  3.0, 10.9
    9, 010.462, +00.034,  3.0, 10.9
   10, 010.464, +00.029,  3.0, 10.9
   11, 010.607, -00.344, 10.1, 18.3
   12, 010.612, -00.375,  9.4, 17.6
   13, 010.617, -00.335, 10.1, 18.3
   14, 010.618, -00.405,  9.1, 17.3
   15, 010.618, -00.383,  9.5, 17.7
   16, 010.621, -00.318, 10.1, 18.3
   17, 010.622, -00.380,  9.5, 17.7
   18, 010.623, -00.384,  9.5, 17.7
   19, 010.626, -00.373,  9.5, 17.7
   20, 010.630, -00.342,  9.9, 18.1
   21, 010.630, -00.338,  9.9, 18.1
   22, 010.631, -00.387,  9.5, 17.7
   23, 010.965, +00.007,  6.0, 14.1
   24, 011.112, -00.401,  8.2, 16.4
   25, 011.157, +00.058, 10.0, 18.2
   26, 011.662, -01.692,  6.0,  2.5
   27, 011.893, +00.749,  5.5,  3.2
   28, 012.014, -00.205,  9.5, 17.6
   29, 012.430, -00.048, 14.4, 22.6
   30, 012.474, -01.140,  4.5,  4.2
   31, 012.476, -01.102,  4.5,  4.2
   32, 012.632, -00.017,  5.0, 12.9
   33, 012.743, +00.391,  6.0,  2.6
   34, 012.775, +00.331,  6.4, 14.4
   35, 012.794, -00.199,  4.8,  3.8
   36, 012.796, -00.191,  4.8,  3.8
   37, 012.804, -00.206,  4.9,  3.8
   38, 012.805, -00.196,  4.9,  3.8
   39, 012.814, -00.199,  4.9,  3.8
   40, 012.878, +00.496,  6.1,  2.5
   41, 012.882, +00.481,  6.1,  2.5
   42, 012.908, -00.276,  5.1, 13.1
   43, 013.132, -00.148,  4.6, 12.5
   44, 014.332, -00.639,  7.4,  1.1
   45, 014.667, -00.477,  5.7, 13.5
   46, 015.098, -00.729,  6.6,  2.0
   47, 015.128, +03.310,  6.4,  2.2
   48, 015.656, -00.479,  9.5, 17.4
   49, 015.677, -00.288,  4.1, 11.6
   50, 016.286, -00.171,  4.7,  4.1
   51, 016.425, -00.200,  4.9,  3.9
   52, 016.648, -00.357,  4.9,  3.9
   53, 016.857, -01.155,  6.5,  2.2
   54, 016.944, -00.073,  9.3, 17.1
   55, 017.221, -00.187,  9.3, 17.1
   56, 017.233, -00.183,  9.3, 17.1
   57, 017.337, -00.145,  9.6, 17.3
   58, 017.638, +00.158,  6.2, 13.7
   59, 017.928, -00.677,  5.4, 12.8
   60, 018.076, +00.068,  4.5, 11.8
   61, 018.145, -00.280,  4.7,  4.2
   62, 018.152, +00.091,  4.8,  4.1
   63, 018.187, -00.415,  5.2,  3.6
   64, 018.195, -00.171,  5.1, 12.4
   65, 018.219, +00.398,  8.7, 16.3
   66, 018.253, -00.298,  4.9,  4.0
   67, 018.305, -00.391,  5.8,  3.0
   68, 018.329, +00.024,  4.9, 12.2
   69, 018.371, -00.382,  5.2,  3.7
   70, 018.451, -00.016,  4.7, 11.9
   71, 018.461, -00.003,  4.7, 11.9
   72, 018.584, +00.344,  7.4, 15.0
   73, 018.657, -00.056,  5.2, 12.5
   74, 018.665, +00.029,  3.9, 10.8
   75, 018.667, +00.050,  3.9, 10.8
   76, 018.670, +01.965,  6.0,  2.7
   77, 018.741, +00.251,  6.7, 14.2
   78, 018.761, +00.263,  6.6, 14.1
   79, 018.762, +00.270,  6.6, 14.1
   80, 018.766, +00.263,  6.6, 14.1
   81, 018.825, -00.467,  4.5,  4.5
   82, 018.832, -00.300,  5.1, 12.4
   83, 018.881, -00.493,  4.4,  4.6
   84, 018.978, +00.031,  4.9,  4.0
   85, 019.031, +00.424,  6.3, 13.7
   86, 019.045, -00.588,  4.3,  4.7
   87, 019.064, -00.282,  4.4,  4.6
   88, 019.078, -00.291,  4.4,  4.6
   89, 019.481, +00.156,  6.7, 14.1
   90, 019.490, +00.135,  6.7,  1.9
   91, 019.504, -00.449,  4.5,  4.5
   92, 019.505, -00.193,  5.6, 12.8
   93, 019.517, +00.084,  3.1,  9.3
   94, 019.554, -00.248,  5.4, 12.7
   95, 019.605, -00.905,  5.6, 12.8
   96, 019.609, -00.238,  5.5, 12.6
   97, 019.612, -00.254,  5.4,  3.4
   98, 019.629, -00.094,  4.7, 11.7
   99, 019.667, -00.308,  5.3, 12.5
  100, 019.677, -00.133,  4.8, 11.9
  101, 019.698, -00.268,  5.4, 12.6
  102, 019.716, -00.261,  5.4, 12.6
  103, 019.728, -00.113,  4.7, 11.7
  104, 019.741, +00.280,  7.0, 14.4
  105, 019.755, -00.128,  3.2,  9.4
  106, 019.781, +00.287,  9.9, 17.5
  107, 019.822, -00.324,  5.3,  3.5
  108, 019.876, -00.092,  3.2,  9.5
  109, 019.884, -00.533,  5.4,  3.5
  110, 019.971, +00.419,  7.1, 14.4
  111, 020.071, -00.143,  5.4, 12.6
  112, 020.077, -00.140,  5.4, 12.6
  113, 020.084, -00.134,  5.4, 12.6
  114, 020.098, -00.123,  5.4, 12.5
  115, 020.152, -00.056,  4.6, 11.5
  116, 020.227, +00.110,  6.6, 13.9
  117, 020.235, +00.085,  4.3, 11.1
