z,V-I2,J-H2,Class,RSE
0.419,1.01,,Early,5
0.474,1.29,,Early,3
0.475,1.29,1.2,Early,0
0.765,1.88,1.2,Early,0
0.494,1.45,,Early,0
0.432,0.91,1.1,Early,3
0.32,0.73,0.99,Early,2
0.225,1.06,,Early,2
0.96,1.48,1.18,Early,0
0.537,1.58,,Early,2
1.337,2.5,,Early,-1
0.562,1.45,1.13,Early,0
0.68,1.69,1.23,Early,2
1.013,2.11,1.36,Early,0
0.56,1.73,,Early,2
0.959,1.99,,Early,0
0.494,1.55,,Early,0
1.452,2.77,,Early,-1
0.847,1.87,1.25,Early,1
0.56,1.74,,Early,0
0.455,1.47,,Early,-1
0.503,1.39,1.17,Early,1
0.56,1.15,,Early,3
0.478,0.88,1.07,Early,1
0.537,0.89,,Early,3
0.437,0.83,,Early,8
0.437,0.89,,Early,0
0.315,1.94,1.33,Early,1
1.514,2.83,,Early,1
1.015,1.63,1.22,Early,1
0.78,1.8,1.14,Early,1
0.56,1.75,1.15,Early,0
1.23,2.28,0.79,Early,0
1.23,2.37,,Early,0
1.282,1.39,,Early,2
0.78,1.36,,Early,0
2.023,0.73,,Early,1
0.78,1.91,0.68,Early,-1
0.437,1.32,,Early,0
0.583,0.86,,Early,0
2.388,0.68,,Early,1
2.704,0.49,,Early,2
0.37,1.32,,Early,0
1.393,2.58,,Early,0
1.578,0.07,,Early,-1
0.92,0.68,0.95,Early,1
0.372,2.02,1.39,Early,1
2.291,0.77,,Early,-1
0.455,1.01,,Early,-1
2.198,1.08,,Early,-1
0.689,1.79,,Early,0
0.634,0.91,,Early,1
1.337,2.45,,Early,0
0.883,0.77,0.72,Early,1
0.689,1.9,1.37,Early,1
0.474,0.93,0.89,Early,8
0.494,1.46,,Early,0
4.266,1.94,1.3,Early,1
0.288,1.11,,Early,1
