z,V-I2,J-H2,Class,RSE
0.58,1.26,,Spiral,5
0.089,0.53,0.89,Spiral,4
0.518,1.44,1.23,Spiral,2
0.58,1.02,,Spiral,3
0.474,0.84,0.98,Spiral,8
0.454,0.85,1.01,Spiral,4
0.642,1.28,1.23,Spiral,4
0.557,1.1,1.23,Spiral,6
0.557,1.16,1.26,Spiral,7
0.321,0.7,0.94,Spiral,5
0.313,0.84,,Spiral,7
0.583,1.03,,Spiral,3
0.161,0.75,,Spiral,5
0.475,1.08,1.3,Spiral,4
0.299,0.97,1.19,Spiral,1
0.515,0.85,,Spiral,5
0.555,0.74,0.94,Spiral,7
0.437,0.74,,Spiral,3
0.37,0.9,,Spiral,2
0.751,1.31,1.23,Spiral,1
0.79,1.27,1.16,Spiral,4
0.475,1.03,1.25,Spiral,4
0.385,0.77,,Spiral,5
0.56,1.18,,Spiral,7
0.32,0.52,0.86,Spiral,4
0.277,0.9,,Spiral,9
0.56,0.99,,Spiral,3
0.92,1.38,,Spiral,5
0.85,1.21,1.08,Spiral,4
0.847,1.73,1.35,Spiral,4
1.0,1.98,1.33,Spiral,4
0.494,1.06,,Spiral,4
1.042,1.88,1.3,Spiral,1
0.32,0.53,0.91,Spiral,4
0.78,1.44,1.34,Spiral,4
0.585,1.51,1.33,Spiral,4
0.752,1.12,1.02,Spiral,1
0.515,0.92,,Spiral,0
0.421,0.73,0.78,Spiral,4
0.494,1.09,,Spiral,2
0.56,0.99,1.15,Spiral,4
1.578,0.88,,Spiral,4
0.402,0.73,,Spiral,5
0.457,0.79,0.91,Spiral,3
0.537,1.07,,Spiral,5
0.961,1.64,1.24,Spiral,1
0.537,0.9,,Spiral,4
0.515,0.87,,Spiral,3
0.959,1.41,1.32,Spiral,1
0.559,1.0,1.16,Spiral,4
0.457,0.89,0.95,Spiral,4
0.419,0.85,,Spiral,5
0.39,1.31,1.14,Spiral,4
0.494,0.77,,Spiral,3
0.401,0.77,0.94,Spiral,1
0.54,0.98,,Spiral,2
0.882,0.63,1.13,Spiral,1
0.355,1.16,1.12,Spiral,1
1.452,1.04,1.35,Spiral,4
1.393,1.19,,Spiral,5
0.321,0.69,0.86,Spiral,4
1.941,1.56,,Spiral,8
0.661,1.21,,Spiral,6
1.578,0.93,,Spiral,7
0.959,1.23,1.01,Spiral,1
1.132,1.95,,Spiral,1
2.845,0.61,1.28,Spiral,4
0.682,0.97,0.93,Spiral,1
0.437,0.92,,Spiral,4
1.393,1.18,,Spiral,7
0.517,0.9,0.99,Spiral,4
0.883,1.23,,Spiral,7
0.529,0.98,1.04,Spiral,4
0.609,1.37,1.41,Spiral,4
0.537,1.05,,Spiral,2
0.216,0.58,0.89,Spiral,8
1.714,0.9,,Spiral,3
1.042,1.77,,Spiral,2
0.207,0.66,,Spiral,3
1.452,0.8,1.22,Spiral,1
0.129,0.56,0.82,Spiral,1
2.268,0.68,1.18,Spiral,4
0.959,1.71,1.31,Spiral,1
0.883,1.6,1.35,Spiral,4
0.494,0.79,0.93,Spiral,4
0.974,1.04,0.88,Spiral,7
0.718,1.23,1.16,Spiral,4
1.941,1.24,1.1,Spiral,1
2.198,0.62,0.94,Spiral,4
0.689,1.95,,Spiral,1
0.681,0.98,1.05,Spiral,4
1.282,0.87,,Spiral,2
0.515,1.53,,Spiral,1
0.959,1.49,1.47,Spiral,8
1.18,1.04,,Spiral,3
